,0
0,Connecticut
1,Delaware
2,Illinois
3,Indiana
4,Maine
5,Minnesota
6,Montana
7,Nebraska
8,New Hampshire
9,New Jersey
10,North Dakota
11,Oklahoma
12,Oregon
13,Pennsylvania
14,South Dakota
15,Tennessee
16,Utah
17,Vermont
18,Wisconsin
19,Wyoming
